Date,ticker,mention_count,days_to_add
2021-02-22,RKT,13,3
2021-02-22,SENS,16,3
2021-02-22,WKHS,0,3
2021-02-22,WWE,0,3
2021-02-23,AMC,20,0
2021-02-23,BB,27,0
2021-02-23,CLF,0,0
2021-02-23,CLNE,0,0
2021-02-23,CLOV,0,0
2021-02-23,FORD,8,0
2021-02-23,GME,50,0
2021-02-23,PLTR,13,0
2021-02-23,RKT,5,0
2021-02-23,SENS,10,0
2021-02-23,WKHS,0,0
2021-02-23,WWE,0,0
2021-02-24,AMC,12,0
2021-02-24,BB,16,0
2021-02-24,CLF,0,0
2021-02-24,CLNE,0,0
2021-02-24,CLOV,0,0
2021-02-24,FORD,5,0
2021-02-24,GME,31,0
2021-02-24,PLTR,13,0
2021-02-24,RKT,3,0
2021-02-24,SENS,10,0
2021-02-24,WKHS,8,0
2021-02-24,WWE,0,0
2021-02-25,AMC,29,0
2021-02-25,BB,24,0
2021-02-25,CLF,0,0
2021-02-25,CLNE,0,0
2021-02-25,CLOV,0,0
2021-02-25,FORD,8,0
2021-02-25,GME,62,0
2021-02-25,PLTR,10,0
2021-02-25,RKT,1,0
2021-02-25,SENS,9,0
2021-02-25,WKHS,2,0
2021-02-25,WWE,0,0
2021-02-26,AMC,35,0
2021-02-26,BB,27,0
2021-02-26,CLF,1,0
2021-02-26,CLNE,0,0
2021-02-26,CLOV,0,0
2021-02-26,FORD,13,0
2021-02-26,GME,168,0
2021-02-26,PLTR,16,0
2021-02-26,RKT,12,0
2021-02-26,SENS,9,0
2021-02-26,WKHS,5,0
2021-02-26,WWE,0,0
2021-03-01,AMC,42,3
2021-03-01,BB,39,3
2021-03-01,CLF,1,3
2021-03-01,CLNE,1,3
2021-03-01,CLOV,1,3
2021-03-01,FORD,14,3
2021-03-01,GME,177,3
2021-03-01,PLTR,17,3
2021-03-01,RKT,20,3
2021-03-01,SENS,31,3
2021-03-01,WKHS,1,3
2021-03-01,WWE,0,3
2021-03-02,AMC,25,0
2021-03-02,BB,18,0
2021-03-02,CLF,0,0
2021-03-02,CLNE,0,0
2021-03-02,CLOV,0,0
2021-03-02,FORD,7,0
2021-03-02,GME,85,0
2021-03-02,PLTR,9,0
2021-03-02,RKT,45,0
2021-03-02,SENS,9,0
2021-03-02,WKHS,3,0
2021-03-02,WWE,0,0
2021-03-03,AMC,23,0
2021-03-03,BB,25,0
2021-03-03,CLF,0,0
2021-03-03,CLNE,0,0
2021-03-03,CLOV,1,0
2021-03-03,FORD,10,0
2021-03-03,GME,130,0
2021-03-03,PLTR,16,0
2021-03-03,RKT,209,0
2021-03-03,SENS,16,0
2021-03-03,WKHS,0,0
2021-03-03,WWE,0,0
2021-03-04,AMC,26,0
2021-03-04,BB,34,0
2021-03-04,CLF,0,0
2021-03-04,CLNE,0,0
2021-03-04,CLOV,1,0
2021-03-04,FORD,11,0
2021-03-04,GME,114,0
2021-03-04,PLTR,19,0
2021-03-04,RKT,79,0
2021-03-04,SENS,13,0
2021-03-04,WKHS,2,0
2021-03-04,WWE,0,0
2021-03-05,AMC,25,0
2021-03-05,BB,33,0
2021-03-05,CLF,0,0
2021-03-05,CLNE,0,0
2021-03-05,CLOV,0,0
2021-03-05,FORD,8,0
2021-03-05,GME,95,0
2021-03-05,PLTR,16,0
2021-03-05,RKT,41,0
2021-03-05,SENS,15,0
2021-03-05,WKHS,1,0
2021-03-05,WWE,0,0
2021-03-08,AMC,38,3
2021-03-08,BB,64,3
2021-03-08,CLF,1,3
2021-03-08,CLNE,1,3
2021-03-08,CLOV,2,3
2021-03-08,FORD,9,3
2021-03-08,GME,171,3
2021-03-08,PLTR,28,3
2021-03-08,RKT,24,3
2021-03-08,SENS,30,3
2021-03-08,WKHS,1,3
2021-03-08,WWE,0,3
2021-03-09,AMC,10,0
2021-03-09,BB,22,0
2021-03-09,CLF,0,0
2021-03-09,CLNE,0,0
2021-03-09,CLOV,0,0
2021-03-09,FORD,5,0
2021-03-09,GME,85,0
2021-03-09,PLTR,8,0
2021-03-09,RKT,11,0
2021-03-09,SENS,4,0
2021-03-09,WKHS,2,0
2021-03-09,WWE,0,0
2021-03-10,AMC,31,0
2021-03-10,BB,23,0
2021-03-10,CLF,0,0
2021-03-10,CLNE,0,0
2021-03-10,CLOV,0,0
2021-03-10,FORD,9,0
2021-03-10,GME,161,0
2021-03-10,PLTR,9,0
2021-03-10,RKT,10,0
2021-03-10,SENS,8,0
2021-03-10,WKHS,0,0
2021-03-10,WWE,0,0
2021-03-11,AMC,52,0
2021-03-11,BB,27,0
2021-03-11,CLF,0,0
2021-03-11,CLNE,0,0
2021-03-11,CLOV,0,0
2021-03-11,FORD,5,0
2021-03-11,GME,166,0
2021-03-11,PLTR,4,0
2021-03-11,RKT,4,0
2021-03-11,SENS,9,0
2021-03-11,WKHS,0,0
2021-03-11,WWE,0,0
2021-03-12,AMC,16,0
2021-03-12,BB,12,0
2021-03-12,CLF,0,0
2021-03-12,CLNE,0,0
2021-03-12,CLOV,0,0
2021-03-12,FORD,10,0
2021-03-12,GME,87,0
2021-03-12,PLTR,5,0
2021-03-12,RKT,4,0
2021-03-12,SENS,4,0
2021-03-12,WKHS,1,0
2021-03-12,WWE,1,0
2021-03-15,AMC,24,3
2021-03-15,BB,38,3
2021-03-15,CLF,1,3
2021-03-15,CLNE,1,3
2021-03-15,CLOV,2,3
2021-03-15,FORD,13,3
2021-03-15,GME,133,3
2021-03-15,PLTR,9,3
2021-03-15,RKT,13,3
2021-03-15,SENS,25,3
2021-03-15,WKHS,2,3
2021-03-15,WWE,0,3
2021-03-16,AMC,36,0
2021-03-16,BB,19,0
2021-03-16,CLF,0,0
2021-03-16,CLNE,0,0
2021-03-16,CLOV,0,0
2021-03-16,FORD,10,0
2021-03-16,GME,70,0
2021-03-16,PLTR,2,0
2021-03-16,RKT,6,0
2021-03-16,SENS,9,0
2021-03-16,WKHS,0,0
2021-03-16,WWE,0,0
2021-03-17,AMC,20,0
2021-03-17,BB,17,0
2021-03-17,CLF,1,0
2021-03-17,CLNE,0,0
2021-03-17,CLOV,0,0
2021-03-17,FORD,4,0
2021-03-17,GME,73,0
2021-03-17,PLTR,6,0
2021-03-17,RKT,6,0
2021-03-17,SENS,8,0
2021-03-17,WKHS,0,0
2021-03-17,WWE,0,0
2021-03-18,AMC,13,0
2021-03-18,BB,18,0
2021-03-18,CLF,0,0
2021-03-18,CLNE,0,0
2021-03-18,CLOV,1,0
2021-03-18,FORD,8,0
2021-03-18,GME,46,0
2021-03-18,PLTR,10,0
2021-03-18,RKT,15,0
2021-03-18,SENS,9,0
2021-03-18,WKHS,0,0
2021-03-18,WWE,0,0
2021-03-19,AMC,6,0
2021-03-19,BB,15,0
2021-03-19,CLF,1,0
2021-03-19,CLNE,0,0
2021-03-19,CLOV,1,0
2021-03-19,FORD,1,0
2021-03-19,GME,46,0
2021-03-19,PLTR,3,0
2021-03-19,RKT,10,0
2021-03-19,SENS,7,0
2021-03-19,WKHS,0,0
2021-03-19,WWE,0,0
2021-03-22,AMC,14,3
2021-03-22,BB,26,3
2021-03-22,CLF,0,3
2021-03-22,CLNE,0,3
2021-03-22,CLOV,0,3
2021-03-22,FORD,13,3
2021-03-22,GME,60,3
2021-03-22,PLTR,8,3
2021-03-22,RKT,12,3
2021-03-22,SENS,14,3
2021-03-22,WKHS,1,3
2021-03-22,WWE,0,3
2021-03-23,AMC,8,0
2021-03-23,BB,11,0
2021-03-23,CLF,0,0
2021-03-23,CLNE,0,0
2021-03-23,CLOV,2,0
2021-03-23,FORD,4,0
2021-03-23,GME,21,0
2021-03-23,PLTR,5,0
2021-03-23,RKT,11,0
2021-03-23,SENS,8,0
2021-03-23,WKHS,0,0
2021-03-23,WWE,0,0
2021-03-24,AMC,8,0
2021-03-24,BB,12,0
2021-03-24,CLF,0,0
2021-03-24,CLNE,0,0
2021-03-24,CLOV,1,0
2021-03-24,FORD,2,0
2021-03-24,GME,38,0
2021-03-24,PLTR,8,0
2021-03-24,RKT,5,0
2021-03-24,SENS,6,0
2021-03-24,WKHS,0,0
2021-03-24,WWE,0,0
2021-03-25,AMC,15,0
2021-03-25,BB,12,0
2021-03-25,CLF,0,0
2021-03-25,CLNE,0,0
2021-03-25,CLOV,0,0
2021-03-25,FORD,6,0
2021-03-25,GME,44,0
2021-03-25,PLTR,10,0
2021-03-25,RKT,4,0
2021-03-25,SENS,7,0
2021-03-25,WKHS,1,0
2021-03-25,WWE,0,0
2021-03-26,AMC,12,0
2021-03-26,BB,11,0
2021-03-26,CLF,2,0
2021-03-26,CLNE,0,0
2021-03-26,CLOV,0,0
2021-03-26,FORD,2,0
2021-03-26,GME,44,0
2021-03-26,PLTR,2,0
2021-03-26,RKT,4,0
2021-03-26,SENS,2,0
2021-03-26,WKHS,0,0
2021-03-26,WWE,0,0
2021-03-29,AMC,12,3
2021-03-29,BB,21,3
2021-03-29,CLF,1,3
2021-03-29,CLNE,0,3
2021-03-29,CLOV,0,3
2021-03-29,FORD,4,3
2021-03-29,GME,49,3
2021-03-29,PLTR,4,3
2021-03-29,RKT,6,3
2021-03-29,SENS,9,3
2021-03-29,WKHS,0,3
2021-03-29,WWE,0,3
2021-03-30,AMC,3,0
2021-03-30,BB,8,0
2021-03-30,CLF,0,0
2021-03-30,CLNE,0,0
2021-03-30,CLOV,0,0
2021-03-30,FORD,1,0
2021-03-30,GME,11,0
2021-03-30,PLTR,8,0
2021-03-30,RKT,15,0
2021-03-30,SENS,7,0
2021-03-30,WKHS,0,0
2021-03-30,WWE,0,0
2021-03-31,AMC,3,0
2021-03-31,BB,13,0
2021-03-31,CLF,1,0
2021-03-31,CLNE,0,0
2021-03-31,CLOV,0,0
2021-03-31,FORD,0,0
2021-03-31,GME,7,0
2021-03-31,PLTR,4,0
2021-03-31,RKT,4,0
2021-03-31,SENS,3,0
2021-03-31,WKHS,0,0
2021-03-31,WWE,0,0
2021-04-01,AMC,2,0
2021-04-01,BB,15,0
2021-04-01,CLF,4,0
2021-04-01,CLNE,0,0
2021-04-01,CLOV,0,0
2021-04-01,FORD,1,0
2021-04-01,GME,22,0
2021-04-01,PLTR,6,0
2021-04-01,RKT,5,0
2021-04-01,SENS,4,0
2021-04-01,WKHS,0,0
2021-04-01,WWE,0,0
2021-04-05,AMC,6,6
2021-04-05,BB,19,6
2021-04-05,CLF,3,6
2021-04-05,CLNE,0,6
2021-04-05,CLOV,0,6
2021-04-05,FORD,5,6
2021-04-05,GME,27,6
2021-04-05,PLTR,5,6
2021-04-05,RKT,4,6
2021-04-05,SENS,5,6
2021-04-05,WKHS,0,6
2021-04-05,WWE,0,6
2021-04-06,AMC,4,0
2021-04-06,BB,5,0
2021-04-06,CLF,0,0
2021-04-06,CLNE,0,0
2021-04-06,CLOV,0,0
2021-04-06,FORD,3,0
2021-04-06,GME,9,0
2021-04-06,PLTR,3,0
2021-04-06,RKT,3,0
2021-04-06,SENS,2,0
2021-04-06,WKHS,1,0
2021-04-06,WWE,0,0
2021-04-07,AMC,1,0
2021-04-07,BB,6,0
2021-04-07,CLF,0,0
2021-04-07,CLNE,0,0
2021-04-07,CLOV,0,0
2021-04-07,FORD,2,0
2021-04-07,GME,12,0
2021-04-07,PLTR,1,0
2021-04-07,RKT,4,0
2021-04-07,SENS,3,0
2021-04-07,WKHS,0,0
2021-04-07,WWE,0,0
2021-04-08,AMC,1,0
2021-04-08,BB,4,0
2021-04-08,CLF,1,0
2021-04-08,CLNE,0,0
2021-04-08,CLOV,0,0
2021-04-08,FORD,0,0
2021-04-08,GME,8,0
2021-04-08,PLTR,7,0
2021-04-08,RKT,2,0
2021-04-08,SENS,2,0
2021-04-08,WKHS,1,0
2021-04-08,WWE,0,0
2021-04-09,AMC,1,0
2021-04-09,BB,4,0
2021-04-09,CLF,0,0
2021-04-09,CLNE,0,0
2021-04-09,CLOV,0,0
2021-04-09,FORD,1,0
2021-04-09,GME,20,0
2021-04-09,PLTR,6,0
2021-04-09,RKT,3,0
2021-04-09,SENS,2,0
2021-04-09,WKHS,0,0
2021-04-09,WWE,0,0
2021-04-12,AMC,5,3
2021-04-12,BB,13,3
2021-04-12,CLF,0,3
2021-04-12,CLNE,1,3
2021-04-12,CLOV,1,3
2021-04-12,FORD,5,3
2021-04-12,GME,35,3
2021-04-12,PLTR,12,3
2021-04-12,RKT,2,3
2021-04-12,SENS,9,3
2021-04-12,WKHS,0,3
2021-04-12,WWE,2,3
2021-04-13,AMC,7,0
2021-04-13,BB,7,0
2021-04-13,CLF,0,0
2021-04-13,CLNE,0,0
2021-04-13,CLOV,0,0
2021-04-13,FORD,2,0
2021-04-13,GME,14,0
2021-04-13,PLTR,4,0
2021-04-13,RKT,1,0
2021-04-13,SENS,6,0
2021-04-13,WKHS,0,0
2021-04-13,WWE,0,0
2021-04-14,AMC,4,0
2021-04-14,BB,12,0
2021-04-14,CLF,1,0
2021-04-14,CLNE,1,0
2021-04-14,CLOV,0,0
2021-04-14,FORD,3,0
2021-04-14,GME,15,0
2021-04-14,PLTR,16,0
2021-04-14,RKT,1,0
2021-04-14,SENS,2,0
2021-04-14,WKHS,0,0
2021-04-14,WWE,0,0
2021-04-15,AMC,4,0
2021-04-15,BB,4,0
2021-04-15,CLF,0,0
2021-04-15,CLNE,1,0
2021-04-15,CLOV,0,0
2021-04-15,FORD,1,0
2021-04-15,GME,9,0
2021-04-15,PLTR,3,0
2021-04-15,RKT,1,0
2021-04-15,SENS,3,0
2021-04-15,WKHS,0,0
2021-04-15,WWE,0,0
2021-04-16,AMC,4,0
2021-04-16,BB,3,0
2021-04-16,CLF,0,0
2021-04-16,CLNE,1,0
2021-04-16,CLOV,0,0
2021-04-16,FORD,0,0
2021-04-16,GME,13,0
2021-04-16,PLTR,6,0
2021-04-16,RKT,3,0
2021-04-16,SENS,4,0
2021-04-16,WKHS,0,0
2021-04-16,WWE,0,0
2021-04-19,AMC,6,3
2021-04-19,BB,14,3
2021-04-19,CLF,1,3
2021-04-19,CLNE,0,3
2021-04-19,CLOV,16,3
2021-04-19,FORD,1,3
2021-04-19,GME,20,3
2021-04-19,PLTR,6,3
2021-04-19,RKT,0,3
2021-04-19,SENS,9,3
2021-04-19,WKHS,0,3
2021-04-19,WWE,0,3
2021-04-20,AMC,1,0
2021-04-20,BB,7,0
2021-04-20,CLF,0,0
2021-04-20,CLNE,1,0
2021-04-20,CLOV,11,0
2021-04-20,FORD,0,0
2021-04-20,GME,6,0
2021-04-20,PLTR,2,0
2021-04-20,RKT,2,0
2021-04-20,SENS,1,0
2021-04-20,WKHS,0,0
2021-04-20,WWE,0,0
2021-04-21,AMC,2,0
2021-04-21,BB,3,0
2021-04-21,CLF,0,0
2021-04-21,CLNE,1,0
2021-04-21,CLOV,6,0
2021-04-21,FORD,2,0
2021-04-21,GME,8,0
2021-04-21,PLTR,2,0
2021-04-21,RKT,1,0
2021-04-21,SENS,3,0
2021-04-21,WKHS,0,0
2021-04-21,WWE,0,0
2021-04-22,AMC,2,0
2021-04-22,BB,3,0
2021-04-22,CLF,0,0
2021-04-22,CLNE,0,0
2021-04-22,CLOV,1,0
2021-04-22,FORD,1,0
2021-04-22,GME,3,0
2021-04-22,PLTR,1,0
2021-04-22,RKT,1,0
2021-04-22,SENS,1,0
2021-04-22,WKHS,0,0
2021-04-22,WWE,0,0
2021-04-23,AMC,2,0
2021-04-23,BB,5,0
2021-04-23,CLF,0,0
2021-04-23,CLNE,0,0
2021-04-23,CLOV,0,0
2021-04-23,FORD,1,0
2021-04-23,GME,4,0
2021-04-23,PLTR,1,0
2021-04-23,RKT,0,0
2021-04-23,SENS,4,0
2021-04-23,WKHS,0,0
2021-04-23,WWE,0,0
2021-04-26,AMC,4,3
2021-04-26,BB,9,3
2021-04-26,CLF,1,3
2021-04-26,CLNE,1,3
2021-04-26,CLOV,2,3
2021-04-26,FORD,1,3
2021-04-26,GME,11,3
2021-04-26,PLTR,3,3
2021-04-26,RKT,1,3
2021-04-26,SENS,8,3
2021-04-26,WKHS,0,3
2021-04-26,WWE,0,3
2021-04-27,AMC,3,0
2021-04-27,BB,7,0
2021-04-27,CLF,1,0
2021-04-27,CLNE,2,0
2021-04-27,CLOV,4,0
2021-04-27,FORD,0,0
2021-04-27,GME,17,0
2021-04-27,PLTR,0,0
2021-04-27,RKT,0,0
2021-04-27,SENS,2,0
2021-04-27,WKHS,0,0
2021-04-27,WWE,0,0
2021-04-28,AMC,5,0
2021-04-28,BB,7,0
2021-04-28,CLF,0,0
2021-04-28,CLNE,1,0
2021-04-28,CLOV,7,0
2021-04-28,FORD,1,0
2021-04-28,GME,6,0
2021-04-28,PLTR,0,0
2021-04-28,RKT,0,0
2021-04-28,SENS,3,0
2021-04-28,WKHS,0,0
2021-04-28,WWE,0,0
2021-04-29,AMC,4,0
2021-04-29,BB,7,0
2021-04-29,CLF,0,0
2021-04-29,CLNE,0,0
2021-04-29,CLOV,10,0
2021-04-29,FORD,2,0
2021-04-29,GME,7,0
2021-04-29,PLTR,1,0
2021-04-29,RKT,1,0
2021-04-29,SENS,9,0
2021-04-29,WKHS,0,0
2021-04-29,WWE,0,0
2021-04-30,AMC,1,0
2021-04-30,BB,3,0
2021-04-30,CLF,0,0
2021-04-30,CLNE,0,0
2021-04-30,CLOV,5,0
2021-04-30,FORD,1,0
2021-04-30,GME,3,0
2021-04-30,PLTR,0,0
2021-04-30,RKT,2,0
2021-04-30,SENS,3,0
2021-04-30,WKHS,0,0
2021-04-30,WWE,0,0
2021-05-03,AMC,0,2
2021-05-03,BB,3,2
2021-05-03,CLF,0,2
2021-05-03,CLNE,2,2
2021-05-03,CLOV,4,2
2021-05-03,FORD,0,2
2021-05-03,GME,3,2
2021-05-03,PLTR,0,2
2021-05-03,RKT,2,2
2021-05-03,SENS,1,2
2021-05-03,WKHS,0,2
2021-05-03,WWE,0,2
2021-05-05,AMC,2,0
2021-05-05,BB,1,0
2021-05-05,CLF,0,0
2021-05-05,CLNE,0,0
2021-05-05,CLOV,3,0
2021-05-05,FORD,0,0
2021-05-05,GME,1,0
2021-05-05,PLTR,2,0
2021-05-05,RKT,7,0
2021-05-05,SENS,2,0
2021-05-05,WKHS,0,0
2021-05-05,WWE,0,0
2021-05-06,AMC,4,0
2021-05-06,BB,12,0
2021-05-06,CLF,1,0
2021-05-06,CLNE,0,0
2021-05-06,CLOV,5,0
2021-05-06,FORD,3,0
2021-05-06,GME,12,0
2021-05-06,PLTR,7,0
2021-05-06,RKT,19,0
2021-05-06,SENS,6,0
2021-05-06,WKHS,0,0
2021-05-06,WWE,0,0
2021-05-07,AMC,11,0
2021-05-07,BB,12,0
2021-05-07,CLF,1,0
2021-05-07,CLNE,0,0
2021-05-07,CLOV,2,0
2021-05-07,FORD,3,0
2021-05-07,GME,26,0
2021-05-07,PLTR,4,0
2021-05-07,RKT,17,0
2021-05-07,SENS,7,0
2021-05-07,WKHS,1,0
2021-05-07,WWE,0,0
2021-05-10,AMC,7,3
2021-05-10,BB,22,3
2021-05-10,CLF,0,3
2021-05-10,CLNE,1,3
2021-05-10,CLOV,9,3
2021-05-10,FORD,3,3
2021-05-10,GME,24,3
2021-05-10,PLTR,13,3
2021-05-10,RKT,11,3
2021-05-10,SENS,10,3
2021-05-10,WKHS,0,3
2021-05-10,WWE,0,3
2021-05-11,AMC,1,0
2021-05-11,BB,7,0
2021-05-11,CLF,1,0
2021-05-11,CLNE,2,0
2021-05-11,CLOV,0,0
2021-05-11,FORD,2,0
2021-05-11,GME,5,0
2021-05-11,PLTR,17,0
2021-05-11,RKT,4,0
2021-05-11,SENS,5,0
2021-05-11,WKHS,1,0
2021-05-11,WWE,0,0
2021-05-12,AMC,4,0
2021-05-12,BB,10,0
2021-05-12,CLF,1,0
2021-05-12,CLNE,0,0
2021-05-12,CLOV,3,0
2021-05-12,FORD,2,0
2021-05-12,GME,8,0
2021-05-12,PLTR,6,0
2021-05-12,RKT,4,0
2021-05-12,SENS,10,0
2021-05-12,WKHS,0,0
2021-05-12,WWE,0,0
2021-05-13,AMC,2,0
2021-05-13,BB,11,0
2021-05-13,CLF,0,0
2021-05-13,CLNE,0,0
2021-05-13,CLOV,2,0
2021-05-13,FORD,1,0
2021-05-13,GME,4,0
2021-05-13,PLTR,3,0
2021-05-13,RKT,1,0
2021-05-13,SENS,4,0
2021-05-13,WKHS,0,0
2021-05-13,WWE,0,0
2021-05-14,AMC,11,0
2021-05-14,BB,9,0
2021-05-14,CLF,0,0
2021-05-14,CLNE,0,0
2021-05-14,CLOV,4,0
2021-05-14,FORD,4,0
2021-05-14,GME,14,0
2021-05-14,PLTR,8,0
2021-05-14,RKT,0,0
2021-05-14,SENS,8,0
2021-05-14,WKHS,0,0
2021-05-14,WWE,0,0
2021-05-17,AMC,8,3
2021-05-17,BB,6,3
2021-05-17,CLF,0,3
2021-05-17,CLNE,0,3
2021-05-17,CLOV,4,3
2021-05-17,FORD,2,3
2021-05-17,GME,15,3
2021-05-17,PLTR,9,3
2021-05-17,RKT,2,3
2021-05-17,SENS,5,3
2021-05-17,WKHS,0,3
2021-05-17,WWE,0,3
2021-05-18,AMC,5,0
2021-05-18,BB,9,0
2021-05-18,CLF,0,0
