Date,ticker,mention_count,percent_change
2021-03-11,CLOV,0.0,0.0667709737981546
2021-03-12,CLOV,0.0,0.027305424765039665
2021-03-15,CLOV,0.0,-0.003935888995773583
2021-03-15,CLOV,0.0,-0.003935888995773583
2021-03-15,CLOV,2.0,-0.003935888995773583
2021-03-16,CLOV,0.0,-0.03031405679672512
2021-03-17,CLOV,0.0,0.016129421804768656
2021-03-18,CLOV,1.0,-0.032523160179136874
2021-03-19,CLOV,1.0,0.004711429290528981
2021-03-22,CLOV,0.0,0.032372737876355355
2021-03-22,CLOV,0.0,0.032372737876355355
2021-03-22,CLOV,0.0,0.032372737876355355
2021-03-23,CLOV,2.0,-0.06098014296935406
2021-03-24,CLOV,1.0,-0.07531793906169257
2021-03-25,CLOV,0.0,0.019367951182578152
2021-03-26,CLOV,0.0,-0.029852964997457484
2021-03-29,CLOV,0.0,-0.03349274809637986
2021-03-29,CLOV,0.0,-0.03349274809637986
2021-03-29,CLOV,0.0,-0.03349274809637986
2021-03-30,CLOV,0.0,-0.020647683723670436
2021-03-31,CLOV,0.0,0.05018000293130326
2021-04-01,CLOV,0.0,-0.024097528503317416
2021-04-05,CLOV,0.0,0.01612936642298423
2021-04-05,CLOV,0.0,0.01612936642298423
2021-04-05,CLOV,0.0,0.01612936642298423
2021-04-05,CLOV,0.0,0.01612936642298423
2021-04-06,CLOV,0.0,0.014560168875929305
2021-04-07,CLOV,0.0,-0.03476288916860966
2021-04-08,CLOV,0.0,0.18571720187417673
2021-04-09,CLOV,0.0,-0.07506457401302083
2021-04-12,CLOV,1.0,-0.04866835160193813
2021-04-12,CLOV,0.0,-0.04866835160193813
2021-04-12,CLOV,0.0,-0.04866835160193813
2021-04-13,CLOV,0.0,-0.0012796199837708953
2021-04-14,CLOV,0.0,-0.05122588906353942
2021-04-15,CLOV,0.0,-0.009478767211907452
2021-04-16,CLOV,0.0,0.1823215351686861
2021-04-19,CLOV,8.0,0.09200648193668876
2021-04-19,CLOV,4.0,0.09200648193668876
2021-04-19,CLOV,4.0,0.09200648193668876
2021-04-20,CLOV,11.0,-0.1149432459555663
2021-04-21,CLOV,6.0,0.04867970738811693
2021-04-22,CLOV,1.0,-0.06269861529123928
2021-04-23,CLOV,0.0,0.03127069508436142
2021-04-26,CLOV,1.0,0.050038207949779666
2021-04-26,CLOV,0.0,0.050038207949779666
2021-04-26,CLOV,1.0,0.050038207949779666
2021-04-27,CLOV,4.0,0.0021667943524192055
2021-04-28,CLOV,7.0,0.12783339628064672
2021-04-29,CLOV,10.0,-0.03193303960114628
2021-04-30,CLOV,5.0,-0.03197072365044367
2021-05-03,CLOV,4.0,-0.05853294519238095
2021-05-05,CLOV,3.0,-0.024582272459570346
2021-05-06,CLOV,5.0,-0.07150093484299391
2021-05-07,CLOV,2.0,0.046299112331761504
2021-05-10,CLOV,4.0,-0.042660456156841366
2021-05-10,CLOV,2.0,-0.042660456156841366
2021-05-10,CLOV,3.0,-0.042660456156841366
2021-05-11,CLOV,0.0,-0.015863677606458845
2021-05-12,CLOV,3.0,-0.04400457247813879
2021-05-13,CLOV,2.0,-0.06917650479482619
2021-05-14,CLOV,4.0,0.02851511069480386
2021-05-17,CLOV,3.0,-0.0910354740322715
2021-05-17,CLOV,1.0,-0.0910354740322715
2021-05-17,CLOV,0.0,-0.0910354740322715
2021-05-18,CLOV,1.0,0.021755697645143394
2021-05-19,CLOV,0.0,-0.01882744072817372
2021-05-20,CLOV,1.0,0.04152349653419417
2021-05-21,CLOV,0.0,-0.02845146204577397
2021-05-24,CLOV,0.0,-0.0014440077763353458
2021-05-24,CLOV,0.0,-0.0014440077763353458
2021-05-24,CLOV,0.0,-0.0014440077763353458
2021-05-25,CLOV,2.0,0.01434743466598412
2021-05-26,CLOV,0.0,0.04321229016941014
2021-05-27,CLOV,0.0,0.06598699476880371
2021-05-28,CLOV,0.0,-0.024564914556191156
2021-05-31,CLOV,2.0,
2021-05-31,CLOV,0.0,
2021-06-01,CLOV,0.0,
2021-06-01,CLOV,0.0,
2021-01-28,BB,123.0,0.0
2021-01-29,BB,1488.0,-0.038265484985474
2021-02-01,BB,117.0,0.03689939841566589
2021-02-01,BB,84.0,0.03689939841566589
2021-02-01,BB,74.0,0.03689939841566589
2021-02-02,BB,85.0,-0.2363887693727352
2021-02-03,BB,110.0,0.03822119630635695
2021-02-04,BB,85.0,0.01242248860187142
2021-02-05,BB,109.0,0.08515780513656337
2021-02-08,BB,124.0,0.03927890561261692
2021-02-08,BB,46.0,0.03927890561261692
2021-02-08,BB,22.0,0.03927890561261692
2021-02-09,BB,19.0,-0.024274815880467156
2021-02-10,BB,26.0,-0.024878773931652682
2021-02-11,BB,27.0,-0.05008874290607006
2021-02-12,BB,24.0,0.04549803715226361
2021-02-15,BB,32.0,
2021-02-15,BB,16.0,
2021-02-16,BB,14.0,-0.0657662623262721
2021-02-16,BB,19.0,-0.0657662623262721
2021-02-17,BB,14.0,-0.0756842454308083
2021-02-18,BB,21.0,-0.03414528717839902
2021-02-19,BB,17.0,-0.0036630043997713676
2021-02-22,BB,24.0,-0.020389892131315025
2021-02-22,BB,14.0,-0.020389892131315025
2021-02-22,BB,19.0,-0.020389892131315025
2021-02-23,BB,27.0,-0.02656709263901477
2021-02-24,BB,16.0,0.08476527634850042
2021-02-25,BB,24.0,-0.06760562659703986
2021-02-26,BB,27.0,-0.05139276573532741
2021-03-01,BB,22.0,0.08210713237524363
2021-03-01,BB,6.0,0.08210713237524363
2021-03-01,BB,11.0,0.08210713237524363
2021-03-02,BB,18.0,-0.03830452869544381
2021-03-03,BB,25.0,-0.03390158925890639
2021-03-04,BB,34.0,-0.031017941333510008
2021-03-05,BB,33.0,-0.04044100524899357
2021-03-08,BB,32.0,0.03125256368768811
2021-03-08,BB,19.0,0.03125256368768811
2021-03-08,BB,13.0,0.03125256368768811
2021-03-09,BB,22.0,0.06933467514892402
2021-03-10,BB,23.0,-0.010582076321347477
2021-03-11,BB,27.0,0.034223839804839895
2021-03-12,BB,12.0,0.10208417613050559
2021-03-15,BB,13.0,-0.014449896244533628
2021-03-15,BB,11.0,-0.014449896244533628
2021-03-15,BB,14.0,-0.014449896244533628
2021-03-16,BB,19.0,-0.019015288912844406
2021-03-17,BB,17.0,0.012142416382340095
2021-03-18,BB,18.0,-0.07516955499245541
2021-03-19,BB,15.0,0.017503862838616414
2021-03-22,BB,10.0,-0.02216155082233442
2021-03-22,BB,6.0,-0.02216155082233442
2021-03-22,BB,10.0,-0.02216155082233442
2021-03-23,BB,11.0,-0.061617211596435795
2021-03-24,BB,12.0,-0.049883092406138634
2021-03-25,BB,12.0,0.030834939323973506
2021-03-26,BB,11.0,-0.025629285649038977
2021-03-29,BB,9.0,-0.04567977437088218
2021-03-29,BB,6.0,-0.04567977437088218
2021-03-29,BB,6.0,-0.04567977437088218
2021-03-30,BB,8.0,0.01510280525484022
2021-03-31,BB,13.0,-0.10250946036286067
2021-04-01,BB,15.0,0.01996543940148231
2021-04-05,BB,9.0,0.07825217305192905
2021-04-05,BB,3.0,0.07825217305192905
2021-04-05,BB,3.0,0.07825217305192905
2021-04-05,BB,4.0,0.07825217305192905
2021-04-06,BB,5.0,-0.03390159764441007
2021-04-07,BB,6.0,-0.008938598666671934
2021-04-08,BB,4.0,0.05778171134923383
2021-04-09,BB,4.0,-0.03339022856500764
2021-04-12,BB,3.0,-0.01101336928388219
2021-04-12,BB,3.0,-0.01101336928388219
2021-04-12,BB,7.0,-0.01101336928388219
2021-04-13,BB,7.0,0.00772211758495669
2021-04-14,BB,12.0,-0.011049878106334215
2021-04-15,BB,4.0,-0.02588771875558723
2021-04-16,BB,3.0,-0.008013854843641812
2021-04-19,BB,10.0,-0.009237932337597185
2021-04-19,BB,2.0,-0.009237932337597185
2021-04-19,BB,2.0,-0.009237932337597185
2021-04-20,BB,7.0,-0.048732143288652684
2021-04-21,BB,3.0,0.05336177684375448
2021-04-22,BB,3.0,-0.002312082402101478
2021-04-23,BB,5.0,0.024014879571367914
2021-04-26,BB,3.0,0.02675742285197275
2021-04-26,BB,3.0,0.02675742285197275
2021-04-26,BB,3.0,0.02675742285197275
2021-04-27,BB,7.0,0.021763623743772803
2021-04-28,BB,7.0,0.0010758719488282876
2021-04-29,BB,7.0,-0.02614525429813932
2021-04-30,BB,3.0,-0.02571416039463819
2021-05-03,BB,3.0,-0.025230727410803372
2021-05-05,BB,1.0,-0.016888144475949773
2021-05-06,BB,12.0,-0.00855236110667575
2021-05-07,BB,12.0,0.039692515375576325
2021-05-10,BB,11.0,-0.04214945818615237
2021-05-10,BB,4.0,-0.04214945818615237
2021-05-10,BB,7.0,-0.04214945818615237
2021-05-11,BB,7.0,0.020694600146563102
2021-05-12,BB,10.0,-0.04308363310822241
2021-05-13,BB,11.0,-0.0012586222087822433
2021-05-14,BB,9.0,0.061068976424594766
2021-05-17,BB,4.0,0.005906714474018167
2021-05-17,BB,1.0,0.005906714474018167
2021-05-17,BB,1.0,0.005906714474018167
2021-05-18,BB,9.0,0.032447885216367926
2021-05-19,BB,6.0,-0.02657585524701231
