Date,ticker,mention_count
2021-04-07,WWE,0
2021-04-08,AMC,1
2021-04-08,BB,4
2021-04-08,CLF,1
2021-04-08,CLNE,0
2021-04-08,CLOV,0
2021-04-08,FORD,0
2021-04-08,GME,8
2021-04-08,PLTR,7
2021-04-08,RKT,2
2021-04-08,SENS,2
2021-04-08,WKHS,1
2021-04-08,WWE,0
2021-04-09,AMC,1
2021-04-09,BB,4
2021-04-09,CLF,0
2021-04-09,CLNE,0
2021-04-09,CLOV,0
2021-04-09,FORD,1
2021-04-09,GME,20
2021-04-09,PLTR,6
2021-04-09,RKT,3
2021-04-09,SENS,2
2021-04-09,WKHS,0
2021-04-09,WWE,0
2021-04-12,AMC,5
2021-04-12,BB,13
2021-04-12,CLF,0
2021-04-12,CLNE,1
2021-04-12,CLOV,1
2021-04-12,FORD,5
2021-04-12,GME,35
2021-04-12,PLTR,12
2021-04-12,RKT,2
2021-04-12,SENS,9
2021-04-12,WKHS,0
2021-04-12,WWE,2
2021-04-13,AMC,7
2021-04-13,BB,7
2021-04-13,CLF,0
2021-04-13,CLNE,0
2021-04-13,CLOV,0
2021-04-13,FORD,2
2021-04-13,GME,14
2021-04-13,PLTR,4
2021-04-13,RKT,1
2021-04-13,SENS,6
2021-04-13,WKHS,0
2021-04-13,WWE,0
2021-04-14,AMC,4
2021-04-14,BB,12
2021-04-14,CLF,1
2021-04-14,CLNE,1
2021-04-14,CLOV,0
2021-04-14,FORD,3
2021-04-14,GME,15
2021-04-14,PLTR,16
2021-04-14,RKT,1
2021-04-14,SENS,2
2021-04-14,WKHS,0
2021-04-14,WWE,0
2021-04-15,AMC,4
2021-04-15,BB,4
2021-04-15,CLF,0
2021-04-15,CLNE,1
2021-04-15,CLOV,0
2021-04-15,FORD,1
2021-04-15,GME,9
2021-04-15,PLTR,3
2021-04-15,RKT,1
2021-04-15,SENS,3
2021-04-15,WKHS,0
2021-04-15,WWE,0
2021-04-16,AMC,4
2021-04-16,BB,3
2021-04-16,CLF,0
2021-04-16,CLNE,1
2021-04-16,CLOV,0
2021-04-16,FORD,0
2021-04-16,GME,13
2021-04-16,PLTR,6
2021-04-16,RKT,3
2021-04-16,SENS,4
2021-04-16,WKHS,0
2021-04-16,WWE,0
2021-04-19,AMC,6
2021-04-19,BB,14
2021-04-19,CLF,1
2021-04-19,CLNE,0
2021-04-19,CLOV,16
2021-04-19,FORD,1
2021-04-19,GME,20
2021-04-19,PLTR,6
2021-04-19,RKT,0
2021-04-19,SENS,9
2021-04-19,WKHS,0
2021-04-19,WWE,0
2021-04-20,AMC,1
2021-04-20,BB,7
2021-04-20,CLF,0
2021-04-20,CLNE,1
2021-04-20,CLOV,11
2021-04-20,FORD,0
2021-04-20,GME,6
2021-04-20,PLTR,2
2021-04-20,RKT,2
2021-04-20,SENS,1
2021-04-20,WKHS,0
2021-04-20,WWE,0
2021-04-21,AMC,2
2021-04-21,BB,3
2021-04-21,CLF,0
2021-04-21,CLNE,1
2021-04-21,CLOV,6
2021-04-21,FORD,2
2021-04-21,GME,8
2021-04-21,PLTR,2
2021-04-21,RKT,1
2021-04-21,SENS,3
2021-04-21,WKHS,0
2021-04-21,WWE,0
2021-04-22,AMC,2
2021-04-22,BB,3
2021-04-22,CLF,0
2021-04-22,CLNE,0
2021-04-22,CLOV,1
2021-04-22,FORD,1
2021-04-22,GME,3
2021-04-22,PLTR,1
2021-04-22,RKT,1
2021-04-22,SENS,1
2021-04-22,WKHS,0
2021-04-22,WWE,0
2021-04-23,AMC,2
2021-04-23,BB,5
2021-04-23,CLF,0
2021-04-23,CLNE,0
2021-04-23,CLOV,0
2021-04-23,FORD,1
2021-04-23,GME,4
2021-04-23,PLTR,1
2021-04-23,RKT,0
2021-04-23,SENS,4
2021-04-23,WKHS,0
2021-04-23,WWE,0
2021-04-26,AMC,4
2021-04-26,BB,9
2021-04-26,CLF,1
2021-04-26,CLNE,1
2021-04-26,CLOV,2
2021-04-26,FORD,1
2021-04-26,GME,11
2021-04-26,PLTR,3
2021-04-26,RKT,1
2021-04-26,SENS,8
2021-04-26,WKHS,0
2021-04-26,WWE,0
2021-04-27,AMC,3
2021-04-27,BB,7
2021-04-27,CLF,1
2021-04-27,CLNE,2
2021-04-27,CLOV,4
2021-04-27,FORD,0
2021-04-27,GME,17
2021-04-27,PLTR,0
2021-04-27,RKT,0
2021-04-27,SENS,2
2021-04-27,WKHS,0
2021-04-27,WWE,0
2021-04-28,AMC,5
2021-04-28,BB,7
2021-04-28,CLF,0
2021-04-28,CLNE,1
2021-04-28,CLOV,7
2021-04-28,FORD,1
2021-04-28,GME,6
2021-04-28,PLTR,0
2021-04-28,RKT,0
2021-04-28,SENS,3
2021-04-28,WKHS,0
2021-04-28,WWE,0
2021-04-29,AMC,4
2021-04-29,BB,7
2021-04-29,CLF,0
2021-04-29,CLNE,0
2021-04-29,CLOV,10
2021-04-29,FORD,2
2021-04-29,GME,7
2021-04-29,PLTR,1
2021-04-29,RKT,1
2021-04-29,SENS,9
2021-04-29,WKHS,0
2021-04-29,WWE,0
2021-04-30,AMC,1
2021-04-30,BB,3
2021-04-30,CLF,0
2021-04-30,CLNE,0
2021-04-30,CLOV,5
2021-04-30,FORD,1
2021-04-30,GME,3
2021-04-30,PLTR,0
2021-04-30,RKT,2
2021-04-30,SENS,3
2021-04-30,WKHS,0
2021-04-30,WWE,0
2021-05-03,AMC,0
2021-05-03,BB,3
2021-05-03,CLF,0
2021-05-03,CLNE,2
2021-05-03,CLOV,4
2021-05-03,FORD,0
2021-05-03,GME,3
2021-05-03,PLTR,0
2021-05-03,RKT,2
2021-05-03,SENS,1
2021-05-03,WKHS,0
2021-05-03,WWE,0
2021-05-05,AMC,2
2021-05-05,BB,1
2021-05-05,CLF,0
2021-05-05,CLNE,0
2021-05-05,CLOV,3
2021-05-05,FORD,0
2021-05-05,GME,1
2021-05-05,PLTR,2
2021-05-05,RKT,7
2021-05-05,SENS,2
2021-05-05,WKHS,0
2021-05-05,WWE,0
2021-05-06,AMC,4
2021-05-06,BB,12
2021-05-06,CLF,1
2021-05-06,CLNE,0
2021-05-06,CLOV,5
2021-05-06,FORD,3
2021-05-06,GME,12
2021-05-06,PLTR,7
2021-05-06,RKT,19
2021-05-06,SENS,6
2021-05-06,WKHS,0
2021-05-06,WWE,0
2021-05-07,AMC,11
2021-05-07,BB,12
2021-05-07,CLF,1
2021-05-07,CLNE,0
2021-05-07,CLOV,2
2021-05-07,FORD,3
2021-05-07,GME,26
2021-05-07,PLTR,4
2021-05-07,RKT,17
2021-05-07,SENS,7
2021-05-07,WKHS,1
2021-05-07,WWE,0
2021-05-10,AMC,7
2021-05-10,BB,22
2021-05-10,CLF,0
2021-05-10,CLNE,1
2021-05-10,CLOV,9
2021-05-10,FORD,3
